Geographic area,Indicator,Residence,Sex,Current age,Unit of measure,Unit multiplier,SOURCE_LINK,SERIES_FOOTNOTE,TIME_PERIOD,OBS_VALUE,Observation Status,Observation confidentaility,DATA_SOURCE,COVERAGE_TIME,Time interval at which the source data are collected,TIME_PERIOD_METHOD,OBS_FOOTNOTE
Mauritania,Total population,Total,Total,Total,Persons,Thousands,,,2018,4403.313,,,UNPD2019,,,,
Mauritius,Total population,Total,Total,Total,Persons,Thousands,,,2018,1267.185,,,UNPD2019,,,,
Mexico,Total population,Total,Total,Total,Persons,Thousands,,,2018,126190.788,,,UNPD2019,,,,
Monaco,Total population,Total,Total,Total,Persons,Thousands,,,2018,38.682,,,UNPD2019,,,,
Mongolia,Total population,Total,Total,Total,Persons,Thousands,,,2018,3170.216,,,UNPD2019,,,,
Republic of Moldova,Total population,Total,Total,Total,Persons,Thousands,,,2018,4051.944,,,UNPD2019,,,,
Montenegro,Total population,Total,Total,Total,Persons,Thousands,,,2018,627.809,,,UNPD2019,,,,
Montserrat,Total population,Total,Total,Total,Persons,Thousands,,,2018,4.993,,,UNPD2019,,,,
Morocco,Total population,Total,Total,Total,Persons,Thousands,,,2018,36029.093,,,UNPD2019,,,,
Mozambique,Total population,Total,Total,Total,Persons,Thousands,,,2018,29496.004,,,UNPD2019,,,,
Oman,Total population,Total,Total,Total,Persons,Thousands,,,2018,4829.473,,,UNPD2019,,,,
Namibia,Total population,Total,Total,Total,Persons,Thousands,,,2018,2448.301,,,UNPD2019,,,,
Nauru,Total population,Total,Total,Total,Persons,Thousands,,,2018,10.67,,,UNPD2019,,,,
Nepal,Total population,Total,Total,Total,Persons,Thousands,,,2018,28095.714,,,UNPD2019,,,,
Netherlands,Total population,Total,Total,Total,Persons,Thousands,,,2018,17059.56,,,UNPD2019,,,,
Vanuatu,Total population,Total,Total,Total,Persons,Thousands,,,2018,292.68,,,UNPD2019,,,,
New Zealand,Total population,Total,Total,Total,Persons,Thousands,,,2018,4743.131,,,UNPD2019,,,,
Nicaragua,Total population,Total,Total,Total,Persons,Thousands,,,2018,6465.501,,,UNPD2019,,,,
Niger,Total population,Total,Total,Total,Persons,Thousands,,,2018,22442.822,,,UNPD2019,,,,
Nigeria,Total population,Total,Total,Total,Persons,Thousands,,,2018,195874.683,,,UNPD2019,,,,
Niue,Total population,Total,Total,Total,Persons,Thousands,,,2018,1.62,,,UNPD2019,,,,
Norway,Total population,Total,Total,Total,Persons,Thousands,,,2018,5337.962,,,UNPD2019,,,,
Micronesia (Federated States of),Total population,Total,Total,Total,Persons,Thousands,,,2018,112.64,,,UNPD2019,,,,
Marshall Islands,Total population,Total,Total,Total,Persons,Thousands,,,2018,58.413,,,UNPD2019,,,,
Palau,Total population,Total,Total,Total,Persons,Thousands,,,2018,17.907,,,UNPD2019,,,,
Pakistan,Total population,Total,Total,Total,Persons,Thousands,,,2018,212228.286,,,UNPD2019,,,,
Panama,Total population,Total,Total,Total,Persons,Thousands,,,2018,4176.869,,,UNPD2019,,,,
Papua New Guinea,Total population,Total,Total,Total,Persons,Thousands,,,2018,8606.323,,,UNPD2019,,,,
Paraguay,Total population,Total,Total,Total,Persons,Thousands,,,2018,6956.066,,,UNPD2019,,,,
Peru,Total population,Total,Total,Total,Persons,Thousands,,,2018,31989.26,,,UNPD2019,,,,
Philippines,Total population,Total,Total,Total,Persons,Thousands,,,2018,106651.394,,,UNPD2019,,,,
Poland,Total population,Total,Total,Total,Persons,Thousands,,,2018,37921.592,,,UNPD2019,,,,
Portugal,Total population,Total,Total,Total,Persons,Thousands,,,2018,10256.193,,,UNPD2019,,,,
Guinea-Bissau,Total population,Total,Total,Total,Persons,Thousands,,,2018,1874.303,,,UNPD2019,,,,
Timor-Leste,Total population,Total,Total,Total,Persons,Thousands,,,2018,1267.974,,,UNPD2019,,,,
Qatar,Total population,Total,Total,Total,Persons,Thousands,,,2018,2781.682,,,UNPD2019,,,,
Romania,Total population,Total,Total,Total,Persons,Thousands,,,2018,19506.114,,,UNPD2019,,,,
Russian Federation,Total population,Total,Total,Total,Persons,Thousands,,,2018,145734.038,,,UNPD2019,,,,
Rwanda,Total population,Total,Total,Total,Persons,Thousands,,,2018,12301.97,,,UNPD2019,,,,
Saint Kitts and Nevis,Total population,Total,Total,Total,Persons,Thousands,,,2018,52.441,,,UNPD2019,,,,
Anguilla,Total population,Total,Total,Total,Persons,Thousands,,,2018,14.731,,,UNPD2019,,,,
Saint Lucia,Total population,Total,Total,Total,Persons,Thousands,,,2018,181.889,,,UNPD2019,,,,
Saint Vincent and the Grenadines,Total population,Total,Total,Total,Persons,Thousands,,,2018,110.211,,,UNPD2019,,,,
San Marino,Total population,Total,Total,Total,Persons,Thousands,,,2018,33.785,,,UNPD2019,,,,
Sao Tome and Principe,Total population,Total,Total,Total,Persons,Thousands,,,2018,211.028,,,UNPD2019,,,,
Saudi Arabia,Total population,Total,Total,Total,Persons,Thousands,,,2018,33702.756,,,UNPD2019,,,,
Senegal,Total population,Total,Total,Total,Persons,Thousands,,,2018,15854.323,,,UNPD2019,,,,
Serbia,Total population,Total,Total,Total,Persons,Thousands,,,2018,8802.754,,,UNPD2019,,,,
Seychelles,Total population,Total,Total,Total,Persons,Thousands,,,2018,97.096,,,UNPD2019,,,,
Sierra Leone,Total population,Total,Total,Total,Persons,Thousands,,,2018,7650.15,,,UNPD2019,,,,
Singapore,Total population,Total,Total,Total,Persons,Thousands,,,2018,5757.499,,,UNPD2019,,,,
Slovakia,Total population,Total,Total,Total,Persons,Thousands,,,2018,5453.014,,,UNPD2019,,,,
Viet Nam,Total population,Total,Total,Total,Persons,Thousands,,,2018,95545.962,,,UNPD2019,,,,
Slovenia,Total population,Total,Total,Total,Persons,Thousands,,,2018,2077.837,,,UNPD2019,,,,
Somalia,Total population,Total,Total,Total,Persons,Thousands,,,2018,15008.226,,,UNPD2019,,,,
